id,movie_id,similar_movie_id
450,4139,1446
451,3685,191
452,3685,952
453,3685,1964
454,3685,2972
455,3685,143
456,3685,3001
457,3685,189
458,3685,503
459,3685,3811
460,3685,1056
461,4023,3734
462,4023,3083
463,4023,3082
464,4023,3421
465,4023,3081
466,4023,4366
467,4023,4453
468,4023,3859
469,4023,668
470,4023,1849
471,3483,4192
472,3483,2181
473,3483,2641
474,3483,32
475,3483,44
476,3483,4205
477,3483,25
478,3483,1862
479,3483,3641
480,3483,45
481,3798,3009
482,3798,702
483,3798,3932
484,3798,3041
485,3798,1595
486,3798,3780
487,3798,1679
488,3798,2665
489,3798,1133
490,3798,631
491,3606,1804
492,3606,819
493,3606,3286
494,3606,3792
495,3606,4280
496,3606,793
497,3606,4106
498,3606,1870
499,3606,4772
500,3606,4310
501,1337,4575
502,1337,1364
503,1337,2798
504,1337,2400
505,1337,628
506,1337,1572
507,1337,4752
508,1337,711
509,1337,4008
510,1337,4023
511,3644,3889
512,3644,3175
513,3644,1649
514,3644,3724
515,3644,4592
516,3644,1000
517,3644,2401
518,3644,1081
519,3644,3122
520,3644,3950
521,3142,578
522,3142,1081
523,3142,44
524,3142,3889
525,3142,3636
526,3142,383
527,3142,673
528,3142,2489
529,3142,2641
530,3142,3419
531,48,12
532,48,14
533,48,13
534,48,648
535,48,2524
536,48,559
537,48,2471
538,48,626
539,48,2207
540,48,3415
541,3943,2042
542,3943,1188
543,3943,3413
544,3943,1569
545,3943,2482
546,3943,2555
547,3943,841
548,3943,4438
549,3943,4270
550,3943,1422
551,3579,3962
552,3579,1598
553,3579,348
554,3579,3932
555,3579,368
556,3579,3930
557,3579,3493
558,3579,3984
559,3579,350
560,3579,4598
561,4192,3483
562,4192,2181
563,4192,25
564,4192,43
565,4192,45
566,4192,35
567,4192,300
568,4192,36
569,4192,4205
570,4192,44
571,1722,689
572,1722,1349
573,1722,3490
574,1722,1857
575,1722,172
576,1722,2196
577,1722,3087
578,1722,3958
579,1722,916
580,1722,1002
581,893,894
582,893,1699
583,893,4727
584,893,4660
585,893,1891
586,893,3092
587,893,1839
588,893,3537
589,893,669
590,893,404
591,2278,1253
592,2278,198
593,2278,3415
594,2278,1650
595,2278,262
596,2278,3378
597,2278,4366
598,2278,3198
599,2278,2979
600,2278,2066
601,2545,4763
602,2545,1573
603,2545,1383
604,2545,3852
605,2545,1889
606,2545,1580
607,2545,3454
608,2545,1728
609,2545,1145
610,2545,1225
611,3750,1556
612,3750,4342
613,3750,3350
614,3750,4605
615,3750,259
616,3750,3993
617,3750,1000
618,3750,3792
619,3750,2641
620,3750,4135
621,4416,4270
622,4416,1698
623,4416,762
624,4416,4476
625,4416,2793
626,4416,2363
627,4416,1512
628,4416,4062
629,4416,1850
630,4416,409
631,75,711
632,75,3491
633,75,1572
634,75,848
635,75,3560
636,75,4469
637,75,3413
638,75,2482
639,75,1428
640,75,4284
641,4366,3421
642,4366,3081
643,4366,3082
644,4366,3734
645,4366,4023
646,4366,2800
647,4366,600
648,4366,3415
649,4366,1570
650,4366,559
651,27,3402
652,27,55
653,27,732
654,27,54
655,27,77
656,27,76
657,27,70
658,27,2765
659,27,4252
660,27,779
661,2277,856
662,2277,1740
663,2277,250
664,2277,1075
665,2277,1790
666,2277,1865
667,2277,1878
668,2277,1631
669,2277,4089
670,2277,3099
671,2401,1000
672,2401,966
673,2401,4342
674,2401,3182
675,2401,3889
676,2401,2539
677,2401,3434
678,2401,2231
679,2401,3993
680,2401,3792
681,554,1570
682,554,3641
683,554,3920
684,554,4453
685,554,2800
686,554,552
687,554,3934
688,554,3737
689,554,3081
690,554,3083
691,3311,3607
692,3311,4113
693,3311,4408
694,3311,3452
695,3311,2083
696,3311,1173
697,3311,3015
698,3311,4105
699,3311,1424
700,3311,2483
701,1098,4342
702,1098,3421
703,1098,3920
704,1098,2338
705,1098,3496
706,1098,4229
707,1098,40
708,1098,2994
709,1098,2534
710,1098,1959
711,557,556
712,557,482
713,557,2279
714,557,4578
715,557,4488
716,557,2772
717,557,3739
718,557,1023
719,557,1572
720,557,4298
721,4546,3415
722,4546,4252
723,4546,600
724,4546,478
725,4546,2338
726,4546,3474
727,4546,2850
728,4546,3318
729,4546,2005
730,4546,55
731,739,2
732,739,2654
733,739,2307
734,739,3969
735,739,2300
736,739,1166
737,739,520
738,739,4659
739,739,1548
740,739,4006
741,4053,81
742,4053,3050
743,4053,866
744,4053,4553
745,4053,3698
746,4053,439
747,4053,4306
748,4053,258
749,4053,425
750,4053,2539
751,1450,1595
752,1450,1494
753,1450,3949
754,1450,645
755,1450,198
756,1450,464
757,1450,1664
758,1450,407
759,1450,3090
760,1450,2025
761,2362,3695
762,2362,198
763,2362,3038
764,2362,366
765,2362,2972
766,2362,1089
767,2362,4342
768,2362,1475
769,2362,412
770,2362,2622
771,4089,856
772,4089,2277
773,4089,1773
774,4089,2569
775,4089,878
776,4089,4127
777,4089,1191
778,4089,4197
779,4089,4417
780,4089,1075
781,4476,2363
782,4476,4485
783,4476,3983
784,4476,686
785,4476,1758
786,4476,4416
787,4476,1299
788,4476,3869
789,4476,3041
790,4476,762
791,1570,3641
792,1570,554
793,1570,3920
794,1570,4453
795,1570,2800
796,1570,552
797,1570,3934
798,1570,3734
799,1570,4366
800,1570,3081
801,3538,3592
802,3538,4724
803,3538,4513
804,3538,1149
805,3538,2368
806,3538,1744
807,3538,2020
808,3538,585
809,3538,848
810,3538,3095
811,3932,901
812,3932,3133
813,3932,3798
814,3932,3579
815,3932,2320
816,3932,713
817,3932,702
818,3932,848
819,3932,3041
820,3932,75
821,3998,3536
822,3998,3574
823,3998,2661
824,3998,1073
825,3998,3859
826,3998,86
827,3998,4606
828,3998,4342
829,3998,1412
